Date,AAPL,ADBE,CVX,GOOG,IBM,MDLZ,MSFT,NFLX,ORCL,SBUX
3-Jan-07,11.107141,38.869999,50.777351,251.001007,79.2425,17.519524,24.118483,3.258571,15.696321,15.752188
1-Feb-07,10.962033,39.25,48.082939,224.949951,74.503204,16.019426,22.092464,3.218571,15.028588,13.930813
1-Mar-07,12.037377,41.700001,51.900383,229.309311,75.561348,16.009354,21.857189,3.312857,16.583584,14.138198
2-Apr-07,12.930043,41.560001,54.588032,235.925919,81.93428,16.924608,23.480597,3.167143,17.196436,13.984914
1-May-07,15.701322,44.060001,57.598267,249.204208,85.786057,17.111704,24.146753,3.128572,17.726965,12.988567
1-Jun-07,15.811448,40.150002,59.542004,261.611603,84.699646,17.950714,23.186863,2.77,18.028816,11.82992
2-Jul-07,17.070766,40.290001,60.262959,255.255249,89.04528,16.677612,22.809202,2.461429,17.489143,12.028288
1-Aug-07,17.941408,42.75,62.469437,257.882874,94.237984,16.326239,22.683865,2.502857,18.5502,12.420514
4-Sep-07,19.883505,43.66,66.612236,283.918915,95.134415,17.72064,23.260239,2.964286,19.803343,11.811887
1-Oct-07,24.609837,47.900002,65.138763,353.853851,93.777657,17.1558,29.063457,3.781429,20.27899,12.028288
1-Nov-07,23.608341,42.139999,62.896679,346.846832,85.243889,17.74118,26.616703,3.3,18.458729,10.545039
3-Dec-07,25.663155,42.73,66.881027,346.08609,87.610428,16.893877,28.201029,3.802857,20.654018,9.2286
2-Jan-08,17.53718,34.93,59.657616,282.432434,86.808075,15.154268,25.824539,3.592857,18.797169,8.525297
1-Feb-08,16.197536,33.650002,62.548466,235.825821,92.631477,16.137976,21.630577,4.511428,17.196436,8.10602
3-Mar-08,18.591795,35.59,61.610165,220.45546,93.672829,16.194613,22.56896,4.95,17.891611,7.889619
1-Apr-08,22.536884,37.290001,69.398048,287.432434,98.196198,16.5184,22.680296,4.568572,19.071581,7.317058
1-May-08,24.454365,44.060001,72.042557,293.193207,105.728958,16.962301,22.604156,4.337143,20.891842,8.200696
2-Jun-08,21.693451,39.389999,72.028023,263.47348,96.824951,14.996203,21.95764,3.724286,19.208786,7.096149
1-Jul-08,20.593491,41.349998,61.441433,237.112106,104.544487,16.772554,20.528915,4.412857,19.693579,6.622771
1-Aug-08,21.96423,42.830002,63.194691,231.876877,99.826286,16.609152,21.868919,4.405715,20.059462,7.014998
2-Sep-08,14.725739,39.470001,60.383438,200.460464,95.914581,17.407118,21.388107,4.411428,18.577639,6.703922
1-Oct-08,13.939312,26.639999,54.614506,179.859863,76.241272,15.509609,17.894207,3.537143,16.729939,5.919468
3-Nov-08,12.006284,23.16,58.343964,146.626633,67.291237,14.462524,16.31312,3.282857,14.717588,4.02596
1-Dec-08,11.057907,21.290001,54.622238,153.978973,69.402344,14.426944,15.683832,4.27,16.217703,4.264903
2-Jan-09,11.677202,19.309999,52.074623,169.434433,75.578949,15.071722,13.795963,5.162857,15.394469,4.255886
2-Feb-09,11.570964,16.700001,45.24324,169.164169,76.305176,12.240067,13.118857,5.177143,14.214501,4.125144
2-Mar-09,13.6193,21.389999,50.109627,174.204208,80.33477,12.13574,14.922194,6.131429,16.528702,5.008781
1-Apr-09,16.302477,27.35,49.260059,198.183182,85.57489,12.740076,16.457466,6.472857,17.736351,6.51908
1-May-09,17.595482,28.18,50.165421,208.823822,88.580597,14.21553,17.07699,5.631429,17.96562,6.487521
1-Jun-09,18.453167,28.299999,49.849396,211.006012,87.030357,13.952106,19.431309,5.905715,19.643879,6.262104
1-Jul-09,21.168736,32.419998,52.272266,221.74675,98.290459,15.603894,19.226942,6.277143,20.34465,7.979786
3-Aug-09,21.793213,31.42,53.152561,231.066071,98.849388,15.6094,20.263988,6.232857,20.11482,8.561364
1-Sep-09,24.013863,33.040001,53.524948,248.173172,100.155655,14.624016,21.143602,6.595714,19.158724,9.309751
1-Oct-09,24.421976,32.939999,58.168388,268.328339,100.993011,15.319867,22.795959,7.635714,19.44449,8.556855
2-Nov-09,25.900249,35.080002,59.830349,291.791779,106.274231,14.796587,24.283903,8.375714,20.347599,9.873295
1-Dec-09,27.302084,36.779999,59.025352,310.300293,110.10128,15.291499,25.167404,7.87,22.605371,10.396263
4-Jan-10,24.883207,32.299999,55.29171,265.235229,102.943436,15.561547,23.26829,8.892858,21.293638,9.823703
1-Feb-10,26.510475,34.650002,55.960209,263.663666,107.433914,15.994751,23.783585,9.435715,22.761847,10.328638
1-Mar-10,30.446495,35.369999,58.692429,283.843842,108.35482,17.175674,24.297915,10.534286,23.74065,10.941774
1-Apr-10,33.826706,33.599998,63.034573,263.113098,108.988472,16.81217,25.334867,14.128572,23.934195,11.761223
3-May-10,33.281258,32.080002,57.709251,243.05806,106.371109,16.24419,21.499313,15.878572,20.881126,11.72048
1-Jun-10,32.588116,26.43,53.014076,222.697693,104.859528,16.062218,19.174389,15.521428,19.854185,11.000682
1-Jul-10,33.329193,28.719999,59.537323,242.667664,109.037598,16.756334,21.507647,14.65,21.917953,11.249669
2-Aug-10,31.495928,27.700001,58.414536,225.235229,105.080406,17.15789,19.662037,17.931429,20.249075,10.457823
1-Sep-10,36.76252,26.15,63.910614,263.158173,114.476456,17.865786,20.516544,23.165714,24.894123,11.627388
1-Oct-10,38.994835,28.15,65.132835,307.157166,122.549728,18.682077,22.342844,24.795713,27.289917,12.99719
