旬流量   单位:m3/s
旬平均,1970,1971,1972,1973,1974,1975,1976
1月上旬,946,958,1030,900,861,1060,975
1月中旬,895,908,969,895,885,1030,890
1月下旬,891,947,891,916,868,958,885
2月上旬,887,1050,933,885,993,967,914
2月中旬,919,1060,991,926,927,1030,909
2月下旬,1060,1150,1120,967,1100,1150,1090
3月上旬,1040,1150,967,949,937,1260,974
3月中旬,1160,1260,1230,961,980,1340,1130
3月下旬,1210,1110,1170,973,1080,1300,1100
4月上旬,1410,1180,1330,1350,1730,1500,1420
4月中旬,1770,1370,1500,1440,1840,1330,1790
4月下旬,1700,1330,1870,1160,1740,1390,1610
5月上旬,2510,2030,2020,2230,2410,2180,2290
5月中旬,4460,1870,2350,2680,2510,2440,2100
5月下旬,2720,2690,2950,2670,2860,2480,3240
6月上旬,3030,3400,3030,3590,2700,2380,3560
6月中旬,2300,3610,3250,6400,3280,3760,3470
6月下旬,2860,5380,4390,6100,5320,4150,5040
7月上旬,5010,4450,4810,7680,5430,5120,5920
7月中旬,5360,4990,5390,6130,4150,4670,6560
7月下旬,7090,3840,8030,3490,6650,9660,4330
8月上旬,6830,3460,3710,3920,5270,5710,4870
8月中旬,5750,7080,1910,3020,5180,6370,4170
8月下旬,4030,3760,3300,4910,6160,2990,6900
9月上旬,2620,2510,2330,3060,5130,7670,4520
9月中旬,2380,2990,2280,4500,5300,4840,4220
9月下旬,2760,3580,2120,2790,4960,3480,5060
10月上旬,2510,3710,1760,2260,2510,3460,2880
10月中旬,2620,3790,2110,2640,2780,4270,4550
10月下旬,2060,3390,1990,2470,2570,3270,3670
11月上旬,1780,2120,1280,1910,1990,2580,2070
11月中旬,1630,1820,1410,1480,1920,2440,1920
11月下旬,1400,1470,1210,1280,1530,1680,1450
12月上旬,1220,1210,1070,1130,1390,1380,1190
12月中旬,1150,1180,993,1160,1260,1310,1050
12月下旬,1050,1060,917,913,1060,1070,1110
